student_id,topic,learning_style,difficulty_level,quiz_score,time_spent_minutes,attempts,engagement_score,next_content_level
1,Biology,Visual,Hard,78.3,35.1,4,51.7,Medium
2,Chemistry,Practice,Easy,51.8,49.3,1,45.7,Medium
3,Computer Science,Visual,Easy,65.7,24.2,2,44.1,Medium
4,Chemistry,Visual,Medium,69.3,30.8,3,46.9,Medium
5,Chemistry,Textual,Medium,69.6,45.8,4,50.5,Medium
6,Physics,Textual,Medium,62.9,63.1,1,55.4,Medium
7,Computer Science,Visual,Hard,75.1,31.7,1,52.1,Medium
8,Computer Science,Visual,Hard,51.2,50.2,2,44.7,Medium
9,Computer Science,Visual,Medium,96.1,41.9,5,61.6,Hard
10,Chemistry,Textual,Medium,54.5,52.6,5,44.0,Medium
11,Biology,Practice,Easy,70.6,45.9,5,50.1,Medium
12,Computer Science,Practice,Easy,79.4,45.4,5,54.3,Medium
13,Chemistry,Textual,Medium,80.2,83.3,4,67.1,Hard
14,Physics,Visual,Easy,81.6,88.9,1,72.5,Hard
15,Biology,Practice,Hard,46.1,41.1,3,38.4,Easy
16,Physics,Textual,Medium,56.2,31.2,4,39.5,Medium
17,Biology,Visual,Easy,72.0,48.6,5,51.6,Medium
18,Chemistry,Practice,Medium,77.2,54.1,3,57.8,Medium
19,Mathematics,Practice,Easy,88.9,64.8,3,66.9,Hard
20,Biology,Practice,Medium,62.3,11.3,5,35.5,Medium
21,Physics,Practice,Hard,56.4,38.8,3,42.8,Medium
22,Chemistry,Visual,Medium,61.8,37.4,4,44.1,Medium
23,Biology,Visual,Easy,100.0,32.9,2,63.9,Hard
24,Mathematics,Practice,Hard,92.5,22.5,4,55.0,Hard
25,Mathematics,Visual,Easy,67.5,41.6,4,48.2,Medium
26,Computer Science,Textual,Hard,89.3,55.6,2,65.3,Hard
27,Computer Science,Practice,Medium,61.4,26.3,5,39.6,Medium
28,Physics,Practice,Medium,84.3,46.3,5,57.0,Hard
29,Biology,Textual,Hard,49.3,51.3,2,44.0,Easy
30,Biology,Practice,Hard,75.3,69.7,4,60.6,Medium
31,Computer Science,Practice,Easy,85.3,54.5,1,64.0,Hard
32,Biology,Textual,Easy,65.1,43.7,3,48.7,Medium
33,Biology,Visual,Hard,79.2,49.7,3,57.5,Medium
34,Mathematics,Visual,Easy,61.6,56.4,3,50.7,Medium
35,Computer Science,Visual,Medium,74.6,46.8,1,56.3,Medium
36,Chemistry,Visual,Hard,62.8,56.8,4,50.4,Medium
37,Computer Science,Visual,Medium,82.3,40.0,5,54.2,Hard
38,Chemistry,Visual,Hard,51.0,63.0,2,48.4,Medium
39,Mathematics,Textual,Hard,54.8,37.4,3,41.6,Medium
40,Physics,Practice,Hard,89.6,34.7,1,60.2,Hard
41,Biology,Visual,Hard,33.1,38.0,2,32.0,Easy
42,Mathematics,Practice,Medium,60.4,30.4,4,41.3,Medium
43,Biology,Practice,Medium,67.9,56.3,1,55.8,Medium
44,Physics,Visual,Medium,75.3,21.4,1,49.1,Medium
45,Physics,Practice,Hard,62.8,38.5,2,46.9,Medium
46,Mathematics,Textual,Hard,53.1,49.9,2,45.5,Medium
47,Physics,Textual,Easy,88.4,45.2,3,60.8,Hard
48,Chemistry,Practice,Medium,85.8,44.4,4,58.2,Hard
49,Physics,Visual,Hard,64.3,42.9,2,49.0,Medium
50,Biology,Practice,Medium,43.1,47.5,3,38.8,Easy
51,Biology,Visual,Easy,74.6,30.0,3,49.3,Medium
52,Biology,Practice,Medium,72.7,37.8,2,51.7,Medium
53,Biology,Textual,Hard,60.0,41.1,1,47.3,Medium
54,Chemistry,Textual,Hard,40.7,51.8,1,40.9,Easy
55,Computer Science,Visual,Hard,65.9,59.1,1,55.7,Medium
56,Mathematics,Practice,Easy,81.5,43.0,3,56.6,Hard
57,Biology,Practice,Hard,83.8,56.0,1,63.7,Hard
58,Physics,Textual,Medium,69.3,46.3,4,50.5,Medium
59,Biology,Textual,Hard,60.6,43.9,1,48.5,Medium
60,Physics,Textual,Easy,81.0,56.8,1,62.5,Hard
61,Physics,Practice,Easy,52.9,23.3,3,36.4,Medium
62,Biology,Textual,Medium,49.7,51.6,5,41.3,Easy
63,Chemistry,Practice,Easy,68.7,34.7,4,46.8,Medium
64,Physics,Practice,Hard,93.2,60.6,3,67.8,Hard
65,Physics,Textual,Hard,93.8,35.1,4,59.4,Hard
66,Biology,Visual,Hard,50.2,40.3,4,39.2,Medium
67,Physics,Textual,Hard,63.4,21.5,1,43.2,Medium
68,Physics,Practice,Medium,100.0,50.5,4,67.2,Hard
69,Biology,Visual,Hard,59.7,38.7,1,46.5,Medium
70,Biology,Textual,Hard,94.3,36.9,4,60.2,Hard
71,Mathematics,Practice,Hard,84.6,45.4,5,56.9,Hard
72,Chemistry,Textual,Medium,87.9,20.0,4,52.0,Hard
73,Chemistry,Textual,Medium,63.3,34.6,2,46.0,Medium
74,Physics,Visual,Hard,63.8,42.2,1,49.6,Medium
75,Chemistry,Visual,Easy,56.3,67.0,5,49.2,Medium
76,Physics,Practice,Hard,82.0,47.8,1,60.3,Hard
77,Mathematics,Visual,Hard,45.5,50.9,5,39.0,Easy
78,Biology,Visual,Medium,67.5,45.9,1,52.5,Medium
79,Biology,Practice,Hard,94.5,96.1,2,80.1,Hard
80,Biology,Textual,Hard,78.9,58.5,2,61.0,Medium
81,Chemistry,Practice,Medium,85.0,14.5,5,47.8,Hard
82,Mathematics,Practice,Medium,45.3,48.3,3,40.1,Easy
83,Chemistry,Visual,Hard,55.1,61.4,1,51.0,Medium
84,Chemistry,Visual,Medium,87.8,23.2,3,53.9,Hard
85,Mathematics,Practice,Easy,71.9,46.6,4,51.9,Medium
86,Mathematics,Textual,Hard,54.4,36.9,2,42.3,Medium
87,Mathematics,Visual,Hard,79.4,32.2,1,54.4,Medium
88,Mathematics,Practice,Hard,62.0,65.0,2,54.5,Medium
89,Biology,Visual,Easy,100.0,35.1,4,62.5,Hard
90,Computer Science,Practice,Easy,79.0,35.2,5,51.1,Medium
91,Computer Science,Visual,Hard,56.2,31.5,1,42.6,Medium
92,Mathematics,Visual,Easy,83.2,28.7,1,55.2,Hard
93,Computer Science,Visual,Hard,94.2,36.8,1,63.1,Hard
94,Computer Science,Practice,Hard,69.9,36.1,5,46.8,Medium
95,Mathematics,Practice,Hard,58.5,27.2,2,41.4,Medium
96,Computer Science,Practice,Easy,70.7,44.6,5,49.7,Medium
97,Chemistry,Textual,Medium,60.8,7.1,2,36.5,Medium
98,Physics,Textual,Hard,66.1,46.5,1,52.0,Medium
99,Physics,Visual,Medium,49.2,59.6,5,43.5,Easy
100,Mathematics,Textual,Medium,83.1,37.0,4,54.6,Hard
101,Biology,Textual,Medium,52.8,50.3,5,42.5,Medium
102,Mathematics,Textual,Easy,79.1,41.2,2,55.9,Medium
103,Biology,Visual,Hard,65.4,80.3,1,61.8,Medium
104,Physics,Practice,Hard,73.3,59.6,2,58.5,Medium
105,Mathematics,Visual,Hard,62.9,32.0,3,44.0,Medium
106,Chemistry,Practice,Medium,72.9,64.4,1,60.8,Medium
107,Computer Science,Visual,Hard,76.5,81.2,4,64.6,Medium
108,Biology,Textual,Easy,64.7,41.8,4,46.9,Medium
109,Computer Science,Textual,Medium,44.1,52.3,3,40.7,Easy
110,Computer Science,Textual,Medium,75.1,60.2,2,59.6,Medium
111,Mathematics,Textual,Hard,75.9,28.2,4,48.4,Medium
112,Computer Science,Textual,Hard,48.5,17.5,2,33.5,Easy
113,Chemistry,Textual,Hard,55.3,47.4,1,46.9,Medium
114,Computer Science,Practice,Hard,64.8,32.7,5,43.2,Medium
115,Mathematics,Practice,Hard,35.6,41.7,1,35.3,Easy
116,Chemistry,Practice,Easy,80.6,60.4,2,62.4,Hard
117,Physics,Visual,Hard,62.7,53.5,3,50.4,Medium
118,Computer Science,Textual,Medium,74.3,53.4,1,58.2,Medium
119,Mathematics,Textual,Medium,54.1,43.1,4,42.0,Medium
120,Physics,Textual,Easy,100.0,35.3,1,65.6,Hard
121,Physics,Textual,Hard,48.7,34.4,1,39.7,Easy
122,Biology,Visual,Easy,62.5,71.2,1,57.6,Medium
123,Chemistry,Visual,Medium,88.0,78.8,3,70.6,Hard
124,Computer Science,Visual,Hard,52.8,61.2,2,48.8,Medium
125,Mathematics,Visual,Hard,71.4,40.8,3,50.9,Medium
126,Biology,Practice,Hard,79.4,28.3,4,50.2,Medium
127,Chemistry,Textual,Medium,47.4,85.8,2,53.4,Easy
128,Biology,Practice,Medium,60.0,51.8,4,47.5,Medium
129,Chemistry,Practice,Easy,72.9,51.5,2,55.9,Medium
130,Chemistry,Visual,Medium,76.8,36.0,2,53.2,Medium
131,Computer Science,Practice,Easy,57.7,55.3,1,50.4,Medium
132,Chemistry,Practice,Hard,97.6,41.9,1,66.4,Hard
133,Biology,Textual,Medium,77.2,29.2,3,50.4,Medium
134,Chemistry,Textual,Easy,81.6,39.9,2,56.8,Hard
135,Computer Science,Practice,Medium,80.8,51.0,4,57.7,Hard
136,Computer Science,Textual,Medium,46.6,68.0,1,48.7,Easy
137,Biology,Practice,Medium,68.3,21.4,4,42.6,Medium
138,Physics,Visual,Easy,69.8,26.4,1,47.8,Medium
139,Physics,Visual,Hard,66.2,38.6,2,48.7,Medium
140,Chemistry,Textual,Easy,73.1,31.0,4,47.8,Medium
141,Mathematics,Textual,Easy,38.4,45.0,3,35.7,Easy
142,Chemistry,Practice,Easy,71.9,37.6,3,50.2,Medium
143,Biology,Practice,Medium,65.5,46.9,3,49.8,Medium
144,Biology,Textual,Easy,38.3,47.5,1,38.4,Easy
145,Biology,Visual,Easy,76.3,24.7,1,50.6,Medium
146,Biology,Practice,Medium,52.3,41.9,3,41.7,Medium
147,Biology,Textual,Medium,64.3,33.0,4,44.0,Medium
148,Computer Science,Visual,Easy,66.2,62.1,1,56.7,Medium
149,Physics,Textual,Easy,42.3,34.8,3,34.6,Easy
150,Biology,Practice,Medium,44.0,37.6,1,38.3,Easy
151,Mathematics,Practice,Easy,78.2,31.4,5,49.5,Medium
152,Mathematics,Textual,Medium,60.9,44.6,4,45.8,Medium
153,Mathematics,Visual,Easy,64.1,42.7,2,48.9,Medium
154,Mathematics,Practice,Easy,71.1,67.2,4,57.7,Medium
155,Computer Science,Textual,Medium,43.6,44.5,2,39.2,Easy
156,Mathematics,Textual,Easy,63.9,65.2,3,54.5,Medium
157,Biology,Visual,Easy,68.3,68.1,1,59.6,Medium
158,Chemistry,Practice,Medium,96.5,39.7,3,63.2,Hard
159,Mathematics,Visual,Hard,56.2,42.4,2,44.8,Medium
160,Computer Science,Visual,Hard,81.8,36.4,5,52.8,Hard
161,Computer Science,Textual,Hard,70.0,26.6,2,47.0,Medium
162,Mathematics,Visual,Hard,53.0,80.4,1,55.6,Medium
163,Chemistry,Textual,Hard,60.5,36.5,5,42.2,Medium
164,Mathematics,Visual,Hard,83.0,31.5,1,56.0,Hard
165,Computer Science,Textual,Medium,81.7,29.1,5,50.6,Hard
166,Physics,Visual,Medium,62.2,35.6,1,46.8,Medium
167,Biology,Visual,Easy,75.2,40.4,2,53.7,Medium
168,Computer Science,Visual,Hard,54.4,63.6,2,50.3,Medium
169,Mathematics,Practice,Hard,67.4,72.2,2,59.4,Medium
170,Biology,Practice,Medium,63.6,13.8,2,39.9,Medium
171,Mathematics,Visual,Hard,84.0,68.8,5,63.6,Hard
172,Mathematics,Practice,Medium,76.9,70.2,4,61.5,Medium
173,Physics,Textual,Medium,59.9,35.7,4,42.7,Medium
174,Biology,Practice,Medium,61.4,31.3,3,43.1,Medium
175,Biology,Textual,Medium,69.6,52.8,4,52.6,Medium
176,Physics,Practice,Medium,67.6,35.4,3,47.4,Medium
177,Computer Science,Visual,Hard,65.8,67.5,2,57.2,Medium
178,Mathematics,Textual,Hard,64.7,52.4,1,53.1,Medium
179,Chemistry,Practice,Hard,90.7,33.7,4,57.5,Hard
180,Mathematics,Textual,Easy,63.2,49.4,4,48.4,Medium
181,Mathematics,Visual,Hard,74.5,46.1,2,55.1,Medium
182,Computer Science,Visual,Medium,100.0,16.2,2,58.9,Hard
